pref_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01,567.1,566.7,565.9,564.8,563.5,561.2,558.9,556.2,553.0,550.6,548.8,547.0,544.6,541.9,539.0,536.0,533.0,529.8,526.2,522.3,518.8
02,147.3,147.0,146.3,145.5,144.4,143.3,142.0,140.5,139.2,138.0,137.0,136.0,134.7,133.4,132.0,130.5,129.1,127.7,126.3,124.7,123.2
03,141.2,140.9,140.3,139.6,138.9,138.0,137.0,135.9,134.6,133.5,132.5,131.0,130.2,129.4,128.5,127.5,126.2,124.9,123.4,121.8,120.3
04,235.5,235.8,235.7,235.7,235.4,234.8,234.6,234.2,233.8,233.6,233.6,231.4,231.9,232.2,232.2,232.0,231.5,230.9,230.1,229.0,228.0
05,118.6,118.0,117.1,116.2,115.3,114.2,113.1,111.8,110.5,109.3,108.3,107.2,106.0,104.7,103.4,102.0,100.8,99.5,98.2,96.8,95.6
06,123.9,123.5,123.0,122.4,121.7,121.0,120.1,119.1,118.1,117.2,116.3,115.6,114.8,113.8,112.9,111.8,110.8,109.7,108.5,107.3,106.1
07,211.8,211.4,210.8,210.0,209.1,208.1,207.0,205.8,204.4,203.1,202.0,197.9,195.0,193.3,191.9,190.5,189.3,187.5,185.6,183.8,181.9
08,295.5,295.6,295.2,295.0,294.5,293.8,293.6,293.4,292.9,292.9,292.9,292.0,291.0,289.9,288.7,287.5,286.4,285.2,283.6,281.8,280.2
09,198.4,198.8,198.8,198.9,199.1,199.0,199.0,198.9,198.6,198.3,198.1,197.5,196.8,196.2,195.5,194.8,193.9,192.9,191.8,190.5,189.1
10,199.6,199.8,199.7,199.7,199.4,198.9,198.7,198.3,197.9,197.6,197.2,196.7,196.1,195.3,194.5,193.6,192.8,191.7,190.6,189.2,188.0
11,687.5,691.0,692.9,695.3,696.8,697.4,699.7,702.0,704.4,707.4,710.5,711.9,713.0,714.0,715.1,716.0,716.8,717.1,717.1,716.6,715.9
12,586.9,590.9,593.3,596.1,597.6,598.3,601.0,604.1,607.2,610.4,613.5,613.8,612.5,612.3,612.5,613.1,613.5,613.7,613.6,613.1,612.2
13,1185.0,1193.9,1203.3,1213.9,1223.1,1232.5,1244.3,1256.3,1266.5,1274.6,1283.4,1287.0,1291.8,1298.3,1304.9,1313.1,1321.6,1329.3,1336.8,1344.2,1348.4
14,839.1,847.3,852.8,858.9,863.8,867.6,872.7,878.6,883.3,888.0,892.1,893.4,894.6,895.6,896.7,897.9,898.8,899.4,899.9,900.4,900.7
15,246.6,246.1,245.2,244.4,243.4,242.1,240.9,239.7,238.4,237.3,236.2,235.3,233.9,232.5,230.9,229.3,227.4,225.4,223.2,220.8,218.5
16,111.4,111.3,111.0,110.7,110.5,110.1,109.9,109.4,109.0,108.5,108.2,107.8,107.3,106.7,106.1,105.6,104.9,104.3,103.5,102.6,101.7
17,117.5,117.5,117.3,117.2,117.0,116.6,116.5,116.3,116.2,116.0,116.0,115.7,115.5,115.1,114.8,114.5,114.1,113.7,113.1,112.4,111.7
18,81.9,81.9,81.8,81.6,81.4,81.1,80.8,80.5,80.1,79.8,79.5,79.3,79.0,78.6,78.2,77.7,77.3,76.9,76.4,75.8,75.2
19,87.7,87.8,87.7,87.5,87.3,87.1,86.7,86.3,85.7,85.4,85.1,84.6,84.1,83.6,83.0,82.4,81.9,81.3,80.7,80.0,79.4
20,218.2,218.5,218.0,217.6,217.1,216.1,215.5,214.7,213.8,212.9,212.3,211.5,210.7,209.5,208.4,207.2,206.3,205.2,204.0,202.6,201.4
21,208.1,208.1,207.9,207.7,207.4,207.0,206.6,206.1,205.6,204.9,204.3,203.8,202.9,201.8,200.8,199.6,198.5,197.1,195.7,194.1,192.5
22,371.5,372.2,372.3,372.6,372.5,372.2,372.0,371.9,371.6,371.1,370.3,369.5,368.6,367.2,365.6,364.0,362.5,360.8,358.7,356.4,354.1
23,693.3,697.3,700.7,703.8,707.0,710.4,714.0,718.0,721.3,723.4,724.7,726.3,727.9,729.3,730.3,731.5,732.1,732.1,731.2,730.1,728.3
24,183.3,183.6,183.4,183.4,183.5,183.3,183.2,183.3,183.0,182.6,182.2,181.7,181.1,180.3,179.5,178.4,177.5,176.2,174.9,173.4,171.9
25,132.4,133.4,134.1,134.7,135.4,135.8,136.5,137.2,137.9,138.4,138.9,139.3,139.5,139.5,139.5,139.3,139.2,139.0,138.7,138.4,138.0
26,259.9,260.3,260.2,260.3,260.3,260.1,260.1,259.8,259.6,259.4,259.3,259.0,258.5,257.8,257.2,256.6,256.1,255.4,254.4,253.2,252.0
27,863.4,864.8,864.7,864.8,864.9,864.0,865.4,866.4,867.4,868.5,869.8,870.2,870.3,869.9,869.1,868.4,867.0,865.2,863.2,861.2,859.5
28,546.8,548.8,549.5,550.2,550.6,550.4,550.8,550.8,550.9,550.9,550.8,550.6,549.9,548.7,547.3,545.6,544.2,542.5,540.5,538.3,535.7
29,143.4,143.3,142.8,142.5,142.0,141.2,140.8,140.3,139.8,139.5,139.1,138.6,137.9,137.2,136.4,135.6,134.8,134.0,133.1,132.1,131.2
30,106.5,106.0,105.4,104.7,104.0,103.1,102.4,101.6,100.9,100.3,99.7,99.1,98.4,97.6,96.8,95.9,95.1,94.3,93.4,92.5,91.6
31,61.0,61.0,60.9,60.8,60.6,60.3,60.0,59.6,59.2,58.8,58.5,58.3,58.0,57.6,57.3,57.0,56.6,56.2,55.8,55.3,54.9
32,75.7,75.5,75.2,74.8,74.3,73.8,73.3,72.7,72.2,71.7,71.3,70.8,70.4,69.9,69.4,68.9,68.5,67.9,67.4,66.8,66.2
33,193.8,194.1,194.2,194.4,194.4,194.2,194.0,193.8,193.4,193.0,192.6,192.3,192.0,191.5,190.9,190.4,189.7,189.0,188.0,186.9,185.9
34,285.6,285.6,285.4,285.4,285.2,284.9,284.5,284.2,283.6,283.1,282.8,282.7,282.4,281.8,281.4,280.9,280.0,279.0,277.7,276.2,274.7
35,151.5,151.1,150.4,149.8,149.0,148.0,147.2,146.3,145.4,144.7,143.9,143.2,142.3,141.3,140.4,139.3,138.1,136.9,135.5,134.0,132.6
36,82.1,81.9,81.7,81.4,81.0,80.6,80.1,79.6,79.1,78.6,78.1,77.6,77.1,76.5,75.9,75.2,74.6,73.9,73.1,72.2,71.4
37,101.8,101.7,101.4,101.3,101.0,100.6,100.3,99.9,99.6,99.2,98.9,98.5,98.2,97.9,97.4,96.9,96.4,95.9,95.3,94.5,93.7
