pref_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01,568.3,568.0,567.2,566.3,565.0,562.8,560.5,557.9,554.8,552.4,550.6,548.8,546.5,543.8,541.0,538.2,535.5,532.5,529.3,525.9,522.5
02,147.6,147.3,146.7,145.9,144.8,143.7,142.4,140.9,139.5,138.3,137.3,136.3,135.0,133.7,132.3,130.8,129.5,128.2,126.8,125.3,123.8
03,141.6,141.3,140.7,140.1,139.5,138.5,137.5,136.4,135.2,134.0,133.0,131.5,130.6,129.9,129.0,128.0,126.8,125.4,124.0,122.6,121.1
04,236.5,236.9,236.9,236.9,236.6,236.0,235.8,235.4,234.9,234.8,234.8,232.6,232.9,233.3,233.5,233.4,233.2,232.6,232.0,231.2,230.2
05,118.9,118.3,117.5,116.5,115.6,114.6,113.4,112.1,110.9,109.7,108.6,107.5,106.3,105.0,103.7,102.3,101.1,99.9,98.5,97.2,96.0
06,124.4,124.1,123.6,123.0,122.4,121.6,120.7,119.8,118.8,117.8,116.9,116.2,115.3,114.4,113.4,112.4,111.4,110.3,109.2,108.0,106.8
07,212.7,212.4,211.8,211.0,210.2,209.1,208.0,206.7,205.4,204.1,202.9,198.8,195.7,194.0,192.7,191.4,190.3,188.6,186.9,185.2,183.3
08,298.6,299.0,298.7,298.5,298.2,297.5,297.4,297.3,297.1,297.0,297.0,296.0,294.7,293.7,292.7,291.7,291.0,290.2,289.2,287.9,286.7
09,200.5,201.1,201.2,201.4,201.6,201.7,201.6,201.6,201.5,201.1,200.8,200.0,199.2,198.6,198.0,197.4,196.9,196.2,195.3,194.3,193.3
10,202.5,202.9,203.0,203.0,202.7,202.4,202.2,202.0,201.7,201.4,200.8,200.1,199.4,198.6,197.9,197.3,196.9,196.3,195.7,194.9,193.9
11,693.8,697.7,700.0,702.8,704.6,705.4,707.9,710.6,713.6,716.1,719.5,720.9,721.6,722.8,724.7,726.7,728.8,730.7,732.5,734.2,734.5
12,592.6,597.0,599.8,603.0,604.7,605.6,608.4,611.9,615.3,618.0,621.6,621.7,620.0,620.1,620.9,622.3,624.2,625.8,627.3,628.3,628.4
13,1206.4,1216.5,1227.1,1238.8,1248.2,1257.7,1270.4,1284.8,1297.3,1304.8,1315.9,1319.8,1323.4,1330.7,1339.9,1351.5,1364.6,1376.8,1388.7,1400.7,1404.8
14,849.0,857.5,863.6,870.2,875.3,879.2,884.6,891.2,896.5,900.6,904.8,906.0,907.0,908.4,910.3,912.6,915.2,917.3,919.7,922.4,923.7
15,247.6,247.1,246.2,245.5,244.5,243.1,242.0,240.8,239.6,238.5,237.4,236.4,235.0,233.6,232.0,230.4,228.6,226.7,224.6,222.4,220.1
16,112.1,112.0,111.8,111.6,111.5,111.2,111.0,110.7,110.3,109.8,109.3,108.8,108.3,107.7,107.2,106.6,106.1,105.6,105.0,104.3,103.5
17,118.1,118.2,118.0,117.9,117.8,117.4,117.3,117.3,117.2,117.1,117.0,116.7,116.4,116.0,115.7,115.4,115.1,114.8,114.5,113.9,113.3
18,82.9,83.0,82.8,82.7,82.4,82.2,82.0,81.7,81.4,81.0,80.6,80.3,80.0,79.6,79.1,78.7,78.3,78.0,77.7,77.1,76.7
19,88.8,89.0,88.9,88.8,88.6,88.5,88.0,87.7,87.1,86.7,86.3,85.7,85.2,84.7,84.1,83.5,83.1,82.6,82.1,81.5,81.0
20,221.5,222.2,221.5,221.0,220.6,219.6,218.9,218.2,217.3,216.2,215.2,214.2,213.2,212.2,211.0,209.9,209.1,208.2,207.3,206.1,204.8
21,210.8,211.1,211.0,211.0,210.8,210.7,210.5,210.4,210.0,209.1,208.1,207.1,206.2,205.3,204.3,203.2,202.4,201.2,200.1,199.2,197.9
22,376.7,378.0,378.4,379.0,379.1,379.2,379.5,379.6,379.3,378.3,376.5,375.2,373.9,373.0,371.5,370.0,369.0,368.1,366.7,365.3,363.3
23,704.3,709.1,713.1,717.0,720.9,725.5,730.7,735.7,739.9,741.1,741.1,741.8,743.1,744.9,746.4,748.3,750.9,752.8,754.1,755.7,754.2
24,185.7,186.2,186.3,186.4,186.7,186.7,187.2,187.3,187.1,186.4,185.5,184.7,184.1,183.3,182.6,181.6,180.9,180.1,179.3,178.3,177.0
25,134.3,135.4,136.1,136.8,137.5,138.0,139.0,139.8,140.5,140.9,141.1,141.3,141.4,141.5,141.4,141.3,141.4,141.4,141.4,141.6,141.4
26,264.4,264.9,264.8,265.0,265.0,264.8,264.6,264.3,264.0,263.7,263.6,263.3,262.8,262.2,261.6,261.0,260.8,260.4,259.8,259.2,257.8
